unit,na_item,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 
CLV10_EUR_HAB,B1GQ,AT	27500 	28100 	28700 	29700 	30700 	31700 	32000 	32300 	32400 	33100 	33600 	34500 	35700 	36100 	34700 	35200 	36100 	36200 	36100 	36000 	: 
CLV10_EUR_HAB,B1GQ,BE	26600 	27000 	28000 	28400 	29400 	30400 	30500 	30900 	31000 	32000 	32500 	33100 	34000 	34000 	32900 	33500 	33900 	33700 	33500 	33800 	: 
CLV10_EUR_HAB,B1GQ,BG	: 	2900 	2900 	3000 	2800 	3000 	3200 	3400 	3600 	3900 	4200 	4500 	4900 	5200 	5000 	5000 	5200 	5300 	5400 	5500 p	: 
CLV10_EUR_HAB,B1GQ,CH	46000 	46000 	47000 	48200 	48700 	50400 	50900 	50600 	50200 	51300 	52600 	54400 	56200 	56700 	54900 	55900 	56500 	56500 	56900 p	57200 p	: 
CLV10_EUR_HAB,B1GQ,CY	18000 	18000 	18200 	18900 	19500 	20400 	20900 	21400 	21700 	22400 	22900 	23600 	24200 	24500 	23300 	23000 	22600 	21700 	20400 	20100 p	: 
CLV10_EUR_HAB,B1GQ,CZ	10100 	10600 	10500 	10500 	10700 	11100 	11500 	11700 	12200 	12800 	13500 	14400 	15200 	15400 	14600 	14900 	15200 	15000 	15000 	15200 	: 
CLV10_EUR_HAB,B1GQ,DE	26400 	26500 	27000 	27600 	28100 	29000 	29400 	29400 	29200 	29600 	29800 	31000 	32100 	32500 	30800 	32100 	33300 	33400 	33400 	33800 	34100 
CLV10_EUR_HAB,B1GQ,DK	37200 	38000 	39100 	39800 	40800 	42200 	42400 	42500 	42500 	43500 	44500 	46000 	46200 	45600 	43000 	43500 	43900 	43700 	43400 	43700 	: 
CLV10_EUR_HAB,B1GQ,EA18	23600 	23900 	24500 	25100 	25800 	26700 	27100 	27300 	27300 	27700 	28000 	28800 	29500 	29500 	28100 	28600 	28900 	28600 	28500 	28600 	: 
CLV10_EUR_HAB,B1GQ,EA19	23300 	23700 	24200 	24900 	25600 	26500 	26900 	27000 	27100 	27500 	27800 	28600 	29300 	29300 	27900 	28400 	28800 	28400 	28300 	28500 	: 
CLV10_EUR_HAB,B1GQ,EE	5500 	5900 	6600 	7000 	7000 	7600 	8100 	8700 	9400 	10000 	11000 	12200 	13300 	12600 	10800 	11000 	11900 	12600 	12800 	13200 	: 
CLV10_EUR_HAB,B1GQ,EL	15000 	15400 	16000 	16500 	17000 	17600 	18200 	18900 	19900 	20900 	20900 	22000 	22700 	22600 	21500 	20300 	18500 p	17200 p	16800 p	17000 p	: 
CLV10_EUR_HAB,B1GQ,ES	17900 	18300 	18900 	19600 	20400 	21400 	22100 	22400 	22700 	23100 	23500 	24100 	24500 	24400 	23300 	23200 	22900 	22300 p	22000 p	22400 p	: 
CLV10_EUR_HAB,B1GQ,EU28	20000 	20300 	20900 	21500 	22100 	22900 	23300 	23600 	23800 	24300 	24700 	25400 	26100 	26100 	24900 	25300 	25700 	25500 	25500 	25800 	: 
CLV10_EUR_HAB,B1GQ,FI	24200 	25000 	26400 	27800 	29000 	30500 	31300 	31700 	32300 	33400 	34200 	35500 	37200 	37300 	34000 	34900 	35600 	34900 	34500 	34100 	: 
CLV10_EUR_HAB,B1GQ,FR	25800 	26100 	26600 	27400 	28200 	29100 	29500 	29600 	29600 	30200 	30500 	31000 	31500 	31400 	30300 	30800 	31200 	31200 	31200 	31100 	: 
