tax,unit,geo\time	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 
ENV,MIO_EUR,AT	7747.26 	7673.98 	7517.84 	6921.29 	6794.61 	6921.95 	6746.23 	6525.95 	6574.69 	6472.55 	6257.7 	5967.05 	5700.61 	5172.7 	4716.43 	4491.42 	4423.7 	4056.19 	3979.78 
ENV,MIO_EUR,BE	8100.78 	8312.78 	8544.78 	8067.68 	7607.5 	7571.9 	7647.4 	7401.8 	7632.9 	7369.8 	6729.3 	6393.1 	6320.6 	6167 	6283.8 	5985.54 	5945.31 	5851.04 	5303.99 
ENV,MIO_EUR,BG	1177.95 	1119.38 	1107.66 	1051.56 	1062.89 	1221.77 	1036.18 	769.11 	696.72 	647.49 	542.07 	398.56 	394.98 	372.45 	298.73 	258.29 	122.75 	84.19 	183.78 
ENV,MIO_EUR,CH	8690.24 	8916.72 	8640.82 	7738.66 	6626.87 	6337.95 	5806.22 	5912.44 	5934.2 	5540.63 	5553.91 	5697.02 	5482.26 	5058.94 	4642.69 	4407.3 	3930.5 	4263.99 	4199.05 
ENV,MIO_EUR,CY	466.91 	474.52 	516.05 	502.8 	486.92 	539.04 	533.31 	481.41 	479.72 	505.56 	445.2 	327.58 	318.41 	266.67 	222.75 	209.93 	188.62 	200.13 	198.55 
ENV,MIO_EUR,CZ	3359.89 	3606.43 	3846.2 	3577.44 	3427.58 	3643.67 	3198.7 	2950.22 	2708.41 	2335.42 	2068.61 	1979.81 	1762.01 	1511.42 	1426.74 	1299.16 	1252.14 	1297.32 	1205.44 
ENV,MIO_EUR,DE	57582.3 	58260.7 	58675.26 	54986.67 	55591 	54899.8 	54537 	56140 	55575 	56443 	57813 	54497 	53792 	49517 	46337 	41796.81 	41499.66 	42324.71 	42078.93 
ENV,MIO_EUR,DK	10751.45 	10098.51 	9957.39 	9768.83 	9236.06 	10077.1 	11063.86 	10547.38 	10474.86 	10097.37 	9290.52 	9489.61 	8868.53 	8615.76 	8854.84 	8321.47 	6994.91 	6709.09 	6099.69 
ENV,MIO_EUR,EA19	237345.73 	234257.4 	229190.19 	217071.69 	211926 	211878.39 	212879.33 	212272.19 	207216.82 	202746.54 	198842.06 	: 	: 	: 	: 	: 	: 	: 	: 
ENV,MIO_EUR,EE	479 	483.69 	449.37 	426.58 	412.53 	379.35 	353.96 	293.99 	255.11 	203.88 	164.53 	154.58 	147.35 	104.38 	: 	: 	: 	: 	: 
